epoch,utc,lat,lng,alt_m,speed2d_ms,speed3d_ms,fix,dop,payload
1784771948749,2026-07-23T01:59:08.749Z,-23.6052760,-46.8372236,821.844,18.493,18.520,3,140,10
1784771948801,2026-07-23T01:59:08.801Z,-23.6052669,-46.8372250,821.885,18.541,18.500,3,140,10
1784771948853,2026-07-23T01:59:08.853Z,-23.6052579,-46.8372262,821.944,18.560,18.540,3,140,10
1784771948906,2026-07-23T01:59:08.906Z,-23.6052487,-46.8372272,821.990,18.595,18.560,3,140,10
1784771948958,2026-07-23T01:59:08.958Z,-23.6052394,-46.8372279,822.022,18.680,18.600,3,140,10
1784771949010,2026-07-23T01:59:09.010Z,-23.6052302,-46.8372284,822.053,18.684,18.680,3,140,10
1784771949062,2026-07-23T01:59:09.062Z,-23.6052210,-46.8372288,822.093,18.643,18.690,3,140,10
1784771949114,2026-07-23T01:59:09.114Z,-23.6052117,-46.8372289,822.151,18.647,18.650,3,140,10
1784771949166,2026-07-23T01:59:09.166Z,-23.6052026,-46.8372288,822.176,18.559,18.650,3,140,10
1784771949218,2026-07-23T01:59:09.218Z,-23.6051934,-46.8372283,822.208,18.518,18.560,3,140,10
1784771949270,2026-07-23T01:59:09.270Z,-23.6051843,-46.8372277,822.234,18.522,18.520,3,140,10
1784771949322,2026-07-23T01:59:09.322Z,-23.6051751,-46.8372269,822.263,18.527,18.530,3,140,10
1784771949375,2026-07-23T01:59:09.375Z,-23.6051659,-46.8372259,822.300,18.526,18.530,3,127,11
1784771949430,2026-07-23T01:59:09.430Z,-23.6051568,-46.8372245,822.322,18.552,18.530,3,127,11
1784771949485,2026-07-23T01:59:09.485Z,-23.6051477,-46.8372233,822.334,18.525,18.560,3,127,11
1784771949540,2026-07-23T01:59:09.540Z,-23.6051387,-46.8372216,822.373,18.488,18.530,3,127,11
1784771949595,2026-07-23T01:59:09.595Z,-23.6051297,-46.8372195,822.386,18.496,18.490,3,127,11
1784771949650,2026-07-23T01:59:09.650Z,-23.6051208,-46.8372174,822.439,18.422,18.500,3,127,11
1784771949705,2026-07-23T01:59:09.705Z,-23.6051119,-46.8372154,822.482,18.329,18.430,3,127,11
1784771949760,2026-07-23T01:59:09.760Z,-23.6051031,-46.8372131,822.513,18.286,18.330,3,127,11
1784771949815,2026-07-23T01:59:09.815Z,-23.6050945,-46.8372107,822.550,18.162,18.290,3,127,11
1784771949870,2026-07-23T01:59:09.870Z,-23.6050856,-46.8372081,822.584,18.214,18.170,3,127,11
1784771949925,2026-07-23T01:59:09.925Z,-23.6050767,-46.8372055,822.652,18.266,18.220,3,127,11
1784771949980,2026-07-23T01:59:09.980Z,-23.6050680,-46.8372026,822.709,18.254,18.270,3,127,11
1784771950035,2026-07-23T01:59:10.035Z,-23.6050592,-46.8371993,822.747,18.346,18.260,3,127,11
1784771950090,2026-07-23T01:59:10.090Z,-23.6050506,-46.8371956,822.764,18.421,18.350,3,127,11
1784771950145,2026-07-23T01:59:10.145Z,-23.6050420,-46.8371917,822.762,18.472,18.430,3,127,11
1784771950200,2026-07-23T01:59:10.200Z,-23.6050335,-46.8371878,822.808,18.464,18.480,3,127,11
1784771950255,2026-07-23T01:59:10.255Z,-23.6050251,-46.8371839,822.885,18.389,18.470,3,127,11
1784771950310,2026-07-23T01:59:10.310Z,-23.6050164,-46.8371798,822.993,18.523,18.400,3,127,11
1784771950365,2026-07-23T01:59:10.365Z,-23.6050080,-46.8371759,823.024,18.439,18.530,3,127,12
1784771950423,2026-07-23T01:59:10.423Z,-23.6049996,-46.8371717,823.048,18.487,18.450,3,127,12
1784771950481,2026-07-23T01:59:10.481Z,-23.6049913,-46.8371675,823.080,18.504,18.500,3,127,12
1784771950539,2026-07-23T01:59:10.539Z,-23.6049830,-46.8371633,823.123,18.480,18.510,3,127,12
1784771950597,2026-07-23T01:59:10.597Z,-23.6049747,-46.8371591,823.181,18.384,18.490,3,127,12
1784771950655,2026-07-23T01:59:10.655Z,-23.6049664,-46.8371546,823.237,18.467,18.390,3,127,12
1784771950713,2026-07-23T01:59:10.713Z,-23.6049582,-46.8371500,823.282,18.475,18.480,3,127,12
1784771950771,2026-07-23T01:59:10.771Z,-23.6049500,-46.8371453,823.315,18.519,18.490,3,127,12
1784771950829,2026-07-23T01:59:10.829Z,-23.6049419,-46.8371407,823.343,18.454,18.530,3,127,12
1784771950887,2026-07-23T01:59:10.887Z,-23.6049339,-46.8371360,823.382,18.388,18.460,3,127,12
1784771950945,2026-07-23T01:59:10.945Z,-23.6049258,-46.8371311,823.446,18.432,18.400,3,127,12
1784771951003,2026-07-23T01:59:11.003Z,-23.6049177,-46.8371262,823.508,18.480,18.440,3,127,12
1784771951061,2026-07-23T01:59:11.061Z,-23.6049098,-46.8371211,823.565,18.475,18.490,3,127,12
1784771951119,2026-07-23T01:59:11.119Z,-23.6049019,-46.8371159,823.613,18.468,18.490,3,127,12
1784771951177,2026-07-23T01:59:11.177Z,-23.6048942,-46.8371107,823.661,18.404,18.480,3,127,12
1784771951235,2026-07-23T01:59:11.235Z,-23.6048864,-46.8371054,823.725,18.412,18.420,3,127,12
1784771951293,2026-07-23T01:59:11.293Z,-23.6048787,-46.8371000,823.775,18.392,18.430,3,127,12
1784771951351,2026-07-23T01:59:11.351Z,-23.6048712,-46.8370945,823.812,18.300,18.410,3,127,12
1784771951410,2026-07-23T01:59:11.410Z,-23.6048638,-46.8370889,823.855,18.237,18.310,3,141,13
1784771951461,2026-07-23T01:59:11.461Z,-23.6048564,-46.8370833,823.938,18.196,18.250,3,141,13
1784771951513,2026-07-23T01:59:11.513Z,-23.6048494,-46.8370776,823.997,17.966,18.210,3,141,13
1784771951565,2026-07-23T01:59:11.565Z,-23.6048427,-46.8370718,824.060,17.775,17.980,3,141,13
1784771951617,2026-07-23T01:59:11.617Z,-23.6048362,-46.8370658,824.103,17.546,17.790,3,141,13
1784771951669,2026-07-23T01:59:11.669Z,-23.6048299,-46.8370600,824.149,17.206,17.560,3,141,13
1784771951721,2026-07-23T01:59:11.721Z,-23.6048240,-46.8370542,824.181,16.850,17.230,3,141,13
1784771951773,2026-07-23T01:59:11.773Z,-23.6048182,-46.8370484,824.274,16.503,16.870,3,141,13
1784771951825,2026-07-23T01:59:11.825Z,-23.6048126,-46.8370424,824.368,16.319,16.520,3,141,13
1784771951877,2026-07-23T01:59:11.877Z,-23.6048071,-46.8370364,824.508,16.042,16.340,3,141,13
1784771951929,2026-07-23T01:59:11.929Z,-23.6048021,-46.8370304,824.604,15.642,16.070,3,141,13
1784771951981,2026-07-23T01:59:11.981Z,-23.6047975,-46.8370245,824.657,15.225,15.670,3,141,13
1784771952033,2026-07-23T01:59:12.033Z,-23.6047930,-46.8370182,824.744,14.989,15.250,3,141,13
1784771952085,2026-07-23T01:59:12.085Z,-23.6047889,-46.8370122,824.804,14.583,15.020,3,141,13
1784771952137,2026-07-23T01:59:12.137Z,-23.6047850,-46.8370061,824.893,14.233,14.610,3,141,13
1784771952189,2026-07-23T01:59:12.189Z,-23.6047815,-46.8370002,824.984,13.779,14.270,3,141,13
