epoch,speed,totalGForce,gForceX,gForceY,steering_angle,sats,lat,lng
1785630921500,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630921700,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630921700,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630921900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630921900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630922100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630922200,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630922400,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630922600,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630922600,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630922800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630922800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630922900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630923100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630923300,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630923400,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630923600,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630923800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630923800,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630923900,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630924100,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630924300,0.0,0.00,0.00,0.00,0.0,17,-23.605363,-46.836184
1785630924600,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630924800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630925000,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630925100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630925300,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630925400,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630925500,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630925700,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630925800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836184
1785630925900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630925900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926000,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926200,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926300,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926400,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926400,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926600,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926700,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926800,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630926900,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630927100,0.0,0.00,0.00,0.00,0.0,17,-23.605364,-46.836185
1785630927200,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630927200,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630927300,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630927300,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630927400,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630927600,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630927600,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
1785630927700,0.0,0.00,0.00,0.00,0.0,17,-23.605365,-46.836185
